DATE,GVZCLS
2014-09-16 00:00:00,16.58
2014-09-17 00:00:00,17.14
2014-09-18 00:00:00,15.5
2014-09-19 00:00:00,16.9
2014-09-22 00:00:00,16.44
2014-09-23 00:00:00,16.65
2014-09-24 00:00:00,17.21
2014-09-25 00:00:00,17.99
2014-09-26 00:00:00,17.84
2014-09-29 00:00:00,17.17
2014-09-30 00:00:00,18.83
2014-10-01 00:00:00,18.73
2014-10-02 00:00:00,18.2
2014-10-03 00:00:00,19.13
2014-10-06 00:00:00,17.6
2014-10-07 00:00:00,17.56
2014-10-08 00:00:00,17.5
2014-10-09 00:00:00,17.86
2014-10-10 00:00:00,18.11
2014-10-13 00:00:00,17.69
2014-10-14 00:00:00,17.98
2014-10-15 00:00:00,20.04
2014-10-16 00:00:00,19.68
2014-10-17 00:00:00,18.08
2014-10-20 00:00:00,17.27
2014-10-21 00:00:00,17.01
2014-10-22 00:00:00,16.58
2014-10-23 00:00:00,16.91
2014-10-24 00:00:00,16.24
2014-10-27 00:00:00,16.49
2014-10-28 00:00:00,16.3
2014-10-29 00:00:00,16.75
2014-10-30 00:00:00,18.08
2014-10-31 00:00:00,21.54
2014-11-03 00:00:00,21.1
2014-11-04 00:00:00,20.1
2014-11-05 00:00:00,23.38
2014-11-06 00:00:00,23.18
2014-11-07 00:00:00,21.38
2014-11-10 00:00:00,22.23
2014-11-11 00:00:00,21.43
2014-11-12 00:00:00,21.29
2014-11-13 00:00:00,20.98
2014-11-14 00:00:00,23.36
2014-11-17 00:00:00,23.37
2014-11-18 00:00:00,23.97
2014-11-19 00:00:00,24.26
2014-11-20 00:00:00,21.5
2014-11-21 00:00:00,21.23
2014-11-24 00:00:00,20.64
2014-11-25 00:00:00,20.67
2014-11-26 00:00:00,21.24
2014-11-27 00:00:00,.
2014-11-28 00:00:00,25.17
2014-12-01 00:00:00,22.33
2014-12-02 00:00:00,21.29
2014-12-03 00:00:00,20.62
2014-12-04 00:00:00,20.29
2014-12-05 00:00:00,20.02
2014-12-08 00:00:00,19.62
2014-12-09 00:00:00,20.04
2014-12-10 00:00:00,19.27
2014-12-11 00:00:00,19.11
2014-12-12 00:00:00,19.66
2014-12-15 00:00:00,20.95
2014-12-16 00:00:00,22.08
2014-12-17 00:00:00,20.9
2014-12-18 00:00:00,19.28
2014-12-19 00:00:00,18.68
2014-12-22 00:00:00,20.26
2014-12-23 00:00:00,19.76
2014-12-24 00:00:00,19.37
2014-12-25 00:00:00,.
2014-12-26 00:00:00,18.92
2014-12-29 00:00:00,20.15
2014-12-30 00:00:00,19.48
2014-12-31 00:00:00,20.08
2015-01-01 00:00:00,.
2015-01-02 00:00:00,20.23
2015-01-05 00:00:00,21.26
2015-01-06 00:00:00,20.78
2015-01-07 00:00:00,20.35
2015-01-08 00:00:00,19.2
2015-01-09 00:00:00,18.44
2015-01-12 00:00:00,17.65
2015-01-13 00:00:00,17.63
2015-01-14 00:00:00,18.52
2015-01-15 00:00:00,21.83
2015-01-16 00:00:00,22.66
2015-01-19 00:00:00,.
2015-01-20 00:00:00,23.43
2015-01-21 00:00:00,22.34
2015-01-22 00:00:00,21.25
2015-01-23 00:00:00,20.62
2015-01-26 00:00:00,20.04
2015-01-27 00:00:00,20.16
2015-01-28 00:00:00,19.31
2015-01-29 00:00:00,20.25
2015-01-30 00:00:00,19.65
2015-02-02 00:00:00,20.33
2015-02-03 00:00:00,20.3
2015-02-04 00:00:00,20.36
2015-02-05 00:00:00,20.06
2015-02-06 00:00:00,20.59
2015-02-09 00:00:00,20.3
2015-02-10 00:00:00,19.71
2015-02-11 00:00:00,20.07
2015-02-12 00:00:00,19.31
2015-02-13 00:00:00,18.49
2015-02-16 00:00:00,.
2015-02-17 00:00:00,19.61
2015-02-18 00:00:00,19.54
2015-02-19 00:00:00,18.62
2015-02-20 00:00:00,19.26
2015-02-23 00:00:00,19.4
2015-02-24 00:00:00,18.77
2015-02-25 00:00:00,17.4
2015-02-26 00:00:00,16.65
2015-02-27 00:00:00,15.91
2015-03-02 00:00:00,16.38
