DATE,OVXCLS
2014-09-16 00:00:00,18.93
2014-09-17 00:00:00,19.18
2014-09-18 00:00:00,18.98
2014-09-19 00:00:00,18.56
2014-09-22 00:00:00,19.98
2014-09-23 00:00:00,20.73
2014-09-24 00:00:00,19.8
2014-09-25 00:00:00,20.07
2014-09-26 00:00:00,19.42
2014-09-29 00:00:00,19.86
2014-09-30 00:00:00,21.52
2014-10-01 00:00:00,22.38
2014-10-02 00:00:00,23.36
2014-10-03 00:00:00,24.22
2014-10-06 00:00:00,24.62
2014-10-07 00:00:00,25.09
2014-10-08 00:00:00,25.28
2014-10-09 00:00:00,27.72
2014-10-10 00:00:00,30.03
2014-10-13 00:00:00,31.32
2014-10-14 00:00:00,37.23
2014-10-15 00:00:00,36.36
2014-10-16 00:00:00,34.09
2014-10-17 00:00:00,31.16
2014-10-20 00:00:00,29.36
2014-10-21 00:00:00,27.14
2014-10-22 00:00:00,30.68
2014-10-23 00:00:00,31.78
2014-10-24 00:00:00,31.27
2014-10-27 00:00:00,32.44
2014-10-28 00:00:00,30.11
2014-10-29 00:00:00,28.93
2014-10-30 00:00:00,30.45
2014-10-31 00:00:00,30.52
2014-11-03 00:00:00,31.84
2014-11-04 00:00:00,33.13
2014-11-05 00:00:00,31.39
2014-11-06 00:00:00,30.34
2014-11-07 00:00:00,29.47
2014-11-10 00:00:00,30.72
2014-11-11 00:00:00,30.79
2014-11-12 00:00:00,30.71
2014-11-13 00:00:00,33.12
2014-11-14 00:00:00,32.99
2014-11-17 00:00:00,34.39
2014-11-18 00:00:00,33.17
2014-11-19 00:00:00,33.14
2014-11-20 00:00:00,33.64
2014-11-21 00:00:00,34.92
2014-11-24 00:00:00,36.28
2014-11-25 00:00:00,37.49
2014-11-26 00:00:00,36.02
2014-11-27 00:00:00,.
2014-11-28 00:00:00,36.44
2014-12-01 00:00:00,37.49
2014-12-02 00:00:00,38.57
2014-12-03 00:00:00,36.16
2014-12-04 00:00:00,35.39
2014-12-05 00:00:00,34.2
2014-12-08 00:00:00,39.68
2014-12-09 00:00:00,37.56
2014-12-10 00:00:00,42.21
2014-12-11 00:00:00,44.95
2014-12-12 00:00:00,49.77
2014-12-15 00:00:00,57.55
2014-12-16 00:00:00,55.77
2014-12-17 00:00:00,56.75
2014-12-18 00:00:00,57.45
2014-12-19 00:00:00,54.84
2014-12-22 00:00:00,54.82
2014-12-23 00:00:00,53.97
2014-12-24 00:00:00,54.88
2014-12-25 00:00:00,.
2014-12-26 00:00:00,54.68
2014-12-29 00:00:00,53.63
2014-12-30 00:00:00,51.17
2014-12-31 00:00:00,50.24
2015-01-01 00:00:00,.
2015-01-02 00:00:00,54.25
2015-01-05 00:00:00,57.67
2015-01-06 00:00:00,56.45
2015-01-07 00:00:00,53.25
2015-01-08 00:00:00,50.96
2015-01-09 00:00:00,50.07
2015-01-12 00:00:00,53.13
2015-01-13 00:00:00,53.78
2015-01-14 00:00:00,53.17
2015-01-15 00:00:00,57.77
2015-01-16 00:00:00,56.44
2015-01-19 00:00:00,.
2015-01-20 00:00:00,57.99
2015-01-21 00:00:00,55.09
2015-01-22 00:00:00,56.4
2015-01-23 00:00:00,57.62
2015-01-26 00:00:00,56.65
2015-01-27 00:00:00,54.23
2015-01-28 00:00:00,55.18
2015-01-29 00:00:00,54.69
2015-01-30 00:00:00,58.62
2015-02-02 00:00:00,57.84
2015-02-03 00:00:00,59.68
2015-02-04 00:00:00,62.73
2015-02-05 00:00:00,63.14
2015-02-06 00:00:00,60.83
2015-02-09 00:00:00,56
2015-02-10 00:00:00,59.29
2015-02-11 00:00:00,60.23
2015-02-12 00:00:00,58.69
2015-02-13 00:00:00,55.53
2015-02-16 00:00:00,.
2015-02-17 00:00:00,56.33
2015-02-18 00:00:00,55.97
2015-02-19 00:00:00,55.75
2015-02-20 00:00:00,54
2015-02-23 00:00:00,58.67
2015-02-24 00:00:00,56.27
2015-02-25 00:00:00,54.93
2015-02-26 00:00:00,56.46
2015-02-27 00:00:00,55.85
2015-03-02 00:00:00,54.92
2015-03-03 00:00:00,53.05
2015-03-04 00:00:00,48.92
2015-03-05 00:00:00,47.09
2015-03-06 00:00:00,48.96
2015-03-09 00:00:00,48.99
2015-03-10 00:00:00,50.92
2015-03-11 00:00:00,49.17
2015-03-12 00:00:00,49.59
2015-03-13 00:00:00,54.56
2015-03-16 00:00:00,56.93
2015-03-17 00:00:00,59.85
2015-03-18 00:00:00,53.65
2015-03-19 00:00:00,53.82
2015-03-20 00:00:00,50.84
2015-03-23 00:00:00,49.32
2015-03-24 00:00:00,47.94
2015-03-25 00:00:00,47.03
2015-03-26 00:00:00,49.58
2015-03-27 00:00:00,52.84
2015-03-30 00:00:00,51.98
2015-03-31 00:00:00,53.72
2015-04-01 00:00:00,50.9
2015-04-02 00:00:00,49.84
2015-04-03 00:00:00,.
2015-04-06 00:00:00,48.33
2015-04-07 00:00:00,46.25
2015-04-08 00:00:00,48.1
2015-04-09 00:00:00,46.65
2015-04-10 00:00:00,43.04
2015-04-13 00:00:00,44.2
2015-04-14 00:00:00,44.65
2015-04-15 00:00:00,46.14
2015-04-16 00:00:00,43.48
2015-04-17 00:00:00,42
2015-04-20 00:00:00,42.06
2015-04-21 00:00:00,41.04
2015-04-22 00:00:00,39.01
2015-04-23 00:00:00,37.98
2015-04-24 00:00:00,36.61
2015-04-27 00:00:00,37.46
2015-04-28 00:00:00,37.31
2015-04-29 00:00:00,36.68
2015-04-30 00:00:00,36.28
2015-05-01 00:00:00,35.62
2015-05-04 00:00:00,36.2
2015-05-05 00:00:00,36.24
2015-05-06 00:00:00,36.88
2015-05-07 00:00:00,38.13
2015-05-08 00:00:00,35.09
2015-05-11 00:00:00,34.86
2015-05-12 00:00:00,33.74
2015-05-13 00:00:00,34.33
2015-05-14 00:00:00,32.63
2015-05-15 00:00:00,29.95
2015-05-18 00:00:00,30.63
2015-05-19 00:00:00,34.82
2015-05-20 00:00:00,33.7
2015-05-21 00:00:00,31.61
2015-05-22 00:00:00,31.29
2015-05-25 00:00:00,.
2015-05-26 00:00:00,34.66
2015-05-27 00:00:00,35.29
2015-05-28 00:00:00,34.2
2015-05-29 00:00:00,33.74
2015-06-01 00:00:00,35.3
2015-06-02 00:00:00,35.74
2015-06-03 00:00:00,37.4
2015-06-04 00:00:00,38.42
2015-06-05 00:00:00,33.54
2015-06-08 00:00:00,34.04
2015-06-09 00:00:00,33.01
2015-06-10 00:00:00,31.79
2015-06-11 00:00:00,31.76
2015-06-12 00:00:00,31.51
2015-06-15 00:00:00,32.55
2015-06-16 00:00:00,32.39
2015-06-17 00:00:00,32.83
2015-06-18 00:00:00,31.59
2015-06-19 00:00:00,30.4
2015-06-22 00:00:00,30.06
2015-06-23 00:00:00,29.69
2015-06-24 00:00:00,29.6
2015-06-25 00:00:00,29.26
2015-06-26 00:00:00,29.01
2015-06-29 00:00:00,33.64
2015-06-30 00:00:00,32.43
2015-07-01 00:00:00,34.11
2015-07-02 00:00:00,33.8
2015-07-03 00:00:00,.
2015-07-06 00:00:00,40.01
2015-07-07 00:00:00,40.54
2015-07-08 00:00:00,42.2
2015-07-09 00:00:00,42.04
2015-07-10 00:00:00,41.22
2015-07-13 00:00:00,38.08
2015-07-14 00:00:00,36.31
2015-07-15 00:00:00,37.25
2015-07-16 00:00:00,35.92
2015-07-17 00:00:00,34.68
2015-07-20 00:00:00,36.39
2015-07-21 00:00:00,34.97
2015-07-22 00:00:00,37.66
2015-07-23 00:00:00,38.46
2015-07-24 00:00:00,39
2015-07-27 00:00:00,41.15
2015-07-28 00:00:00,39.94
2015-07-29 00:00:00,38.59
2015-07-30 00:00:00,37.33
2015-07-31 00:00:00,38.82
2015-08-03 00:00:00,40.91
2015-08-04 00:00:00,40.12
2015-08-05 00:00:00,40.18
2015-08-06 00:00:00,41.54
2015-08-07 00:00:00,41.17
2015-08-10 00:00:00,40.99
2015-08-11 00:00:00,42.16
2015-08-12 00:00:00,42.4
2015-08-13 00:00:00,43.23
2015-08-14 00:00:00,40.92
2015-08-17 00:00:00,40.35
2015-08-18 00:00:00,39.48
2015-08-19 00:00:00,41.29
2015-08-20 00:00:00,42.58
2015-08-21 00:00:00,44.66
2015-08-24 00:00:00,50.11
2015-08-25 00:00:00,49
2015-08-26 00:00:00,46.87
2015-08-27 00:00:00,49.03
2015-08-28 00:00:00,51.56
2015-08-31 00:00:00,54.37
2015-09-01 00:00:00,57.51
2015-09-02 00:00:00,53.75
2015-09-03 00:00:00,50.44
2015-09-04 00:00:00,49.29
2015-09-07 00:00:00,.
2015-09-08 00:00:00,50.14
2015-09-09 00:00:00,49.5
2015-09-10 00:00:00,50.05
2015-09-11 00:00:00,49.63
2015-09-14 00:00:00,49.81
2015-09-15 00:00:00,51.14
2015-09-16 00:00:00,50.24
2015-09-17 00:00:00,45.34
2015-09-18 00:00:00,45.84
2015-09-21 00:00:00,47.51
2015-09-22 00:00:00,48.9
2015-09-23 00:00:00,51.12
2015-09-24 00:00:00,49.44
2015-09-25 00:00:00,47.71
2015-09-28 00:00:00,49.46
2015-09-29 00:00:00,49.32
2015-09-30 00:00:00,45.52
2015-10-01 00:00:00,44.61
2015-10-02 00:00:00,42.86
2015-10-05 00:00:00,43.03
2015-10-06 00:00:00,44.14
2015-10-07 00:00:00,43.26
2015-10-08 00:00:00,43.28
2015-10-09 00:00:00,42.8
2015-10-12 00:00:00,44.9
2015-10-13 00:00:00,45.37
2015-10-14 00:00:00,42.7
2015-10-15 00:00:00,41.99
2015-10-16 00:00:00,39.58
2015-10-19 00:00:00,40.74
2015-10-20 00:00:00,41.72
2015-10-21 00:00:00,41.77
2015-10-22 00:00:00,40.22
2015-10-23 00:00:00,41.51
2015-10-26 00:00:00,42.99
2015-10-27 00:00:00,44.77
2015-10-28 00:00:00,44.29
2015-10-29 00:00:00,43.63
2015-10-30 00:00:00,41.95
2015-11-02 00:00:00,41.88
2015-11-03 00:00:00,41.27
2015-11-04 00:00:00,41.54
2015-11-05 00:00:00,39.29
2015-11-06 00:00:00,39.85
2015-11-09 00:00:00,41.34
2015-11-10 00:00:00,39.34
2015-11-11 00:00:00,41.92
2015-11-12 00:00:00,43.93
2015-11-13 00:00:00,46.26
2015-11-16 00:00:00,47.44
2015-11-17 00:00:00,46.63
2015-11-18 00:00:00,43.53
2015-11-19 00:00:00,43.75
2015-11-20 00:00:00,44.93
2015-11-23 00:00:00,45.84
2015-11-24 00:00:00,47.17
2015-11-25 00:00:00,48.46
2015-11-26 00:00:00,.
2015-11-27 00:00:00,48.28
2015-11-30 00:00:00,48.14
2015-12-01 00:00:00,49.28
2015-12-02 00:00:00,51.96
2015-12-03 00:00:00,50.65
2015-12-04 00:00:00,45.44
2015-12-07 00:00:00,49
2015-12-08 00:00:00,50.34
2015-12-09 00:00:00,51.53
2015-12-10 00:00:00,51.23
2015-12-11 00:00:00,54.29
2015-12-14 00:00:00,55.36
2015-12-15 00:00:00,50.03
2015-12-16 00:00:00,47.64
2015-12-17 00:00:00,47.45
2015-12-18 00:00:00,49.43
2015-12-21 00:00:00,49.18
2015-12-22 00:00:00,48.84
2015-12-23 00:00:00,47.39
2015-12-24 00:00:00,44.81
2015-12-25 00:00:00,.
2015-12-28 00:00:00,47
2015-12-29 00:00:00,45.27
2015-12-30 00:00:00,46.01
2015-12-31 00:00:00,46.57
2016-01-01 00:00:00,.
2016-01-04 00:00:00,49.79
2016-01-05 00:00:00,49.68
2016-01-06 00:00:00,52.36
2016-01-07 00:00:00,56.15
2016-01-08 00:00:00,56.1
2016-01-11 00:00:00,62.98
2016-01-12 00:00:00,65.27
2016-01-13 00:00:00,60.67
2016-01-14 00:00:00,57.56
2016-01-15 00:00:00,62.09
2016-01-18 00:00:00,.
2016-01-19 00:00:00,64.04
2016-01-20 00:00:00,67.93
2016-01-21 00:00:00,65.79
2016-01-22 00:00:00,61.86
2016-01-25 00:00:00,65.74
2016-01-26 00:00:00,65.89
2016-01-27 00:00:00,65.62
2016-01-28 00:00:00,65.99
2016-01-29 00:00:00,61.86
2016-02-01 00:00:00,66.63
2016-02-02 00:00:00,68.59
2016-02-03 00:00:00,67.71
2016-02-04 00:00:00,66.78
2016-02-05 00:00:00,66.67
2016-02-08 00:00:00,68.38
2016-02-09 00:00:00,72.29
2016-02-10 00:00:00,72.5
2016-02-11 00:00:00,77.79
2016-02-12 00:00:00,78.97
2016-02-15 00:00:00,.
2016-02-16 00:00:00,71.53
2016-02-17 00:00:00,69.47
2016-02-18 00:00:00,67.49
2016-02-19 00:00:00,62.46
2016-02-22 00:00:00,62.84
2016-02-23 00:00:00,65.03
2016-02-24 00:00:00,66.09
2016-02-25 00:00:00,63.74
2016-02-26 00:00:00,59.96
2016-02-29 00:00:00,60.01
2016-03-01 00:00:00,56.84
2016-03-02 00:00:00,53.37
2016-03-03 00:00:00,52.57
2016-03-04 00:00:00,51.89
2016-03-07 00:00:00,52.8
2016-03-08 00:00:00,54.04
2016-03-09 00:00:00,51.74
2016-03-10 00:00:00,51.98
2016-03-11 00:00:00,50.25
2016-03-14 00:00:00,50.17
2016-03-15 00:00:00,48.98
2016-03-16 00:00:00,43.98
2016-03-17 00:00:00,46.22
2016-03-18 00:00:00,44.98
2016-03-21 00:00:00,45.09
2016-03-22 00:00:00,44.12
2016-03-23 00:00:00,44.58
2016-03-24 00:00:00,44.96
2016-03-25 00:00:00,.
2016-03-28 00:00:00,45.98
2016-03-29 00:00:00,46.63
2016-03-30 00:00:00,46.38
2016-03-31 00:00:00,45.91
2016-04-01 00:00:00,47.76
2016-04-04 00:00:00,50.89
2016-04-05 00:00:00,50.16
2016-04-06 00:00:00,46.16
2016-04-07 00:00:00,46.5
2016-04-08 00:00:00,47.42
2016-04-11 00:00:00,49.04
2016-04-12 00:00:00,48.78
2016-04-13 00:00:00,48.79
2016-04-14 00:00:00,46.37
2016-04-15 00:00:00,51.27
2016-04-18 00:00:00,46.45
2016-04-19 00:00:00,43.93
